sourceNodeId,targetNodeId,value,time
702,15491,322.16,6
1760,19890,213.52,6
1875,7155,316.27,6
2191,7927,148.36,6
2375,15458,139.13,6
1235,9596,148.28,6
2245,5520,168.86,6
1314,9088,150.36,6
1102,17441,462.95,6
866,19795,468.63,6
1918,7138,226.89,6
2362,848,186.25,6
784,19990,240.24,6
1071,13268,521.94,6
49,18350,196.75,6
1740,9155,254.39,6
82,9963,154.05,6
567,7285,255.38,6
1527,9707,189.1,6
1490,9376,112.94,6
381,6961,150.5,6
2033,19920,107.79,6
1572,12801,127.29,6
859,9929,564.34,6
1228,19456,117.45,6
1754,19954,266.32,6
1532,17412,104.04,6
401,8816,331.39,6
603,12389,251.32,6
321,9991,177.71,6
947,9782,510.08,6
430,14803,294.17,6
335,19269,121.58,6
1413,18325,151.71,6
705,18374,302.42,6
1988,15188,364.42,6
2045,9888,181.28,6
1488,13859,135.91,6
1830,18496,316.48,6
1002,4771,555.71,6
1746,19184,364.89,6
701,7654,234.66,6
2352,9954,142.25,6
2170,19029,148.3,6
1757,18129,322.69,6
1847,19984,203.03,6
1524,14881,168.38,6
2399,17192,164.1,6
2171,15621,191.41,6
1996,7685,353.61,6
1588,5693,133.97,6
235,7109,185.38,6
2285,3650,189.21,6
2205,19640,139.13,6
658,19984,213.28,6
1202,19961,101.36,6
1512,12629,111.0,6
648,6514,212.03,6
1795,8820,322.33,6
1059,12361,501.77,6
2293,18736,159.03,6
355,4086,121.87,6
664,4179,208.24,6
2695,9808,388.2,7
485,12593,387.14,7
2383,17300,124.06,7
117,19252,102.66,7
152,4345,105.8,7
2795,6849,208.61,7
2019,9989,133.16,7
2062,15857,101.48,7
1462,9301,169.03,7
1331,19318,172.78,7
481,3376,222.69,7
2492,19892,325.6,7
1852,19108,256.33,7
1910,10466,209.07,7
1183,4597,415.48,7
613,12368,207.08,7
2154,9440,197.72,7
2648,19889,318.92,7
1877,19507,249.58,7
2323,19361,100.33,7
1290,18866,161.16,7
2675,17398,220.38,7
805,9413,547.46,7
2107,9634,177.27,7
1630,7894,360.36,7
681,10536,341.76,7
1569,7810,109.2,7
216,14730,163.3,7
1689,19993,242.08,7
1790,18625,363.86,7
591,19045,231.24,7
173,6569,128.08,7
2632,17969,288.91,7
2747,14864,275.35,7
726,6230,357.33,7
2636,7824,233.55,7
1517,6544,197.66,7
1914,17923,289.25,7
1306,15462,171.32,7
2217,930,132.21,7
1152,9530,531.03,7
1813,19877,206.27,7
1657,8410,336.89,7
2113,8804,174.02,7
1913,1093,213.41,7
526,8648,387.42,7
1583,1520,191.11,7
716,19280,316.19,7
855,13154,569.55,7
2035,17428,115.95,7
1042,14098,403.14,7
462,374,351.32,7
477,8754,355.88,7
1430,8459,147.99,7
1420,19731,138.82,7
420,18378,298.36,7
2743,9864,288.17,7
508,7258,240.96,7
326,10325,170.19,7
2046,4536,177.41,7
2707,17632,353.92,7
1793,19922,390.02,7
637,8002,276.29,7
1104,11169,596.85,7
1565,19684,182.71,7
231,6721,187.36,7
2726,14832,334.92,7
857,17507,520.85,7
1649,3042,368.7,7
1938,9398,361.73,7
1274,10738,140.77,7
1967,17057,291.76,7
2696,11586,280.98,7
1405,4113,182.72,7
2098,7946,125.26,7
1823,15927,341.69,7
937,19848,430.16,7
1499,14677,135.91,7
1685,16000,370.77,7
234,9428,110.01,7
697,19952,216.92,7
1811,17777,287.39,7
1614,16772,217.5,7
2258,9797,155.88,7
2111,9697,111.44,7
1263,13635,167.36,7
848,6263,444.01,8
846,19872,491.11,8
187,7300,119.23,8
2844,9777,428.61,8
2717,15042,352.29,8
2911,11473,446.83,8
3048,5762,495.01,8
373,17522,104.05,8
2086,5113,198.5,8
2670,9504,294.85,8
478,8964,339.7,8
1739,9894,206.36,8
777,13670,374.22,8
1324,4116,158.36,8
2635,19553,365.89,8
1936,3282,295.08,8
2752,9312,213.83,8
650,16260,349.04,8
2405,9120,269.07,8
751,5684,268.79,8
2672,8867,340.58,8
2327,9969,131.86,8
697,8135,216.92,8
2605,6531,311.57,8
2167,7442,194.25,8
983,19970,401.82,8
2569,18433,341.7,8
2408,19440,328.89,8
1468,2530,100.51,8
2253,7299,111.5,8
2418,8832,258.0,8
2407,9585,241.17,8
1829,14869,283.72,8
2905,9301,535.67,8
340,19573,115.12,8
674,14100,292.17,8
535,15472,389.14,8
2806,16646,555.42,8
1314,16093,150.36,8
2852,19987,425.16,8
2288,5121,153.11,8
1699,18198,298.54,8
1423,18131,191.63,8
1108,9876,519.13,8
2881,9974,559.95,8
2805,6801,413.05,8
2369,17251,103.48,8
2662,12292,343.57,8
2289,3427,186.44,8
427,6272,322.35,8
1260,7984,111.19,8
3033,16881,512.63,8
1679,10931,292.77,8
116,5318,168.05,8
1578,1427,166.0,8
1916,17413,355.58,8
1451,17733,181.19,8
2088,12244,183.67,8
2303,4594,166.38,8
1210,5088,179.07,8
363,5940,178.41,8
878,5074,525.57,8
2372,12097,157.55,8
1212,9312,126.22,8
3008,4579,430.91,8
2028,9538,127.44,8
1940,19896,269.79,8
851,19170,498.94,8
994,8833,428.14,8
953,19473,491.17,8
2254,15045,105.87,8
2870,8468,553.89,8
2777,9409,266.35,8
1862,9202,260.17,8
2052,19040,168.63,8
2050,7409,174.67,8
2828,15138,579.27,8
2226,3219,169.17,8
939,9971,471.16,8
1480,9138,136.75,8
1511,19508,149.92,8
2230,14977,108.87,8
2220,9875,155.03,8
2053,16384,110.0,8
2445,19398,398.94,8
3135,18241,559.4,8
1394,9938,189.24,8
3176,9744,559.21,8
3044,17414,599.25,8
2365,18613,112.58,8
2815,4929,577.59,8
118,9832,163.5,8
677,13217,284.33,8
3122,16641,578.55,8
892,8880,465.76,8
1491,9236,177.86,8
1548,9624,119.76,8
1325,3001,129.6,8
696,8650,246.8,8
719,19926,243.08,8
1117,9072,409.33,8
540,2529,258.2,8
978,8951,470.67,8
838,16273,470.69,8
660,9795,337.26,8
1497,7052,191.58,8
1816,19568,253.86,8
1335,8898,116.58,8
295,4314,147.91,8
3011,17890,498.25,8
2834,19730,448.44,8
2979,6917,593.08,8
1452,11028,113.86,8
1649,245,368.7,8
1391,7328,137.58,8
2783,19808,386.64,8
2040,12946,142.13,8
1037,9237,512.32,8
110,9992,114.63,8
3421,19249,153.66,9
2577,2840,355.86,9
2954,19794,400.44,9
1113,11927,426.79,9
2238,1778,104.33,9
2560,10737,296.95,9
3237,17315,129.88,9
2894,18264,541.72,9
1173,9255,438.67,9
85,13759,127.55,9
2892,7090,586.41,9
3490,18336,119.72,9
1690,9777,200.83,9
3350,19425,142.02,9
2679,9553,363.27,9
2195,9984,159.97,9
2168,9961,117.98,9
1628,5024,278.17,9
1349,9744,135.69,9
1533,8576,109.34,9
1482,17268,175.82,9
569,3336,337.64,9
2461,4449,242.32,9
352,11924,167.0,9
2910,9744,577.96,9
2946,10848,599.89,9
1708,18224,205.58,9
1322,19432,195.72,9
2912,7632,509.73,9
574,9985,286.33,9
1828,7187,357.19,9
2855,19940,574.44,9
2134,12932,114.81,9
3596,8640,146.36,9
2821,19920,416.14,9
2914,6304,593.34,9
1563,9425,158.27,9
2177,18755,174.27,9
984,4016,563.27,9
1676,14032,350.32,9
1264,8835,137.99,9
3046,9232,554.09,9
1478,9920,157.36,9
1578,5621,166.0,9
262,19764,137.24,9
524,4186,294.67,9
2942,16933,482.67,9
1950,9157,243.27,9
2167,3412,194.25,9
788,19520,307.23,9
2587,12102,282.02,9
2556,7794,201.5,9
2132,4936,182.88,9
1724,17943,325.39,9
1138,2577,510.54,9
1789,19158,216.66,9
1965,13844,345.89,9
338,18208,137.8,9
752,18833,342.5,9
2137,8131,138.39,9
3261,9810,103.81,9
2376,19571,108.76,9
3582,3379,148.6,9
2542,19713,261.26,9
1836,5921,224.58,9
937,9724,430.16,9
1713,19953,318.7,9
635,14913,231.41,9
1685,7571,370.77,9
3184,4256,561.22,9
3430,5312,199.19,9
3480,19291,181.16,9
1924,19985,273.41,9
1483,4865,123.16,9
3595,5968,198.64,9
980,19968,579.89,9
2439,19024,301.57,9
1720,9265,364.82,9
3191,17280,581.47,9
1697,7988,215.66,9
1663,9971,377.07,9
2689,13250,313.42,9
3231,18755,189.49,9
2872,18977,554.94,9
1388,18070,111.12,9
2989,8519,494.35,9
901,19908,492.52,9
3342,16548,115.66,9
3040,18468,576.35,9
3482,18673,167.77,9
2600,8323,211.46,9
3039,16916,465.97,9
1939,3985,382.61,9
2575,11313,384.07,9
2828,9720,579.27,9
2658,5955,294.57,9
3122,9190,578.55,9
1866,13076,205.44,9
3249,8176,186.94,9
1655,19954,334.83,9
1096,19989,422.16,9
550,19904,228.46,9
1997,4803,202.85,9
2327,9926,131.86,9
376,5870,133.05,9
2406,4609,353.76,9
1045,19642,536.04,9
515,9620,320.97,9
1105,9793,552.95,9
672,9010,257.57,9
3082,3152,475.76,9
2029,19826,197.71,9
1473,9728,149.55,9
2010,9872,186.11,9
1356,9475,185.46,9
2937,19990,552.84,9
2125,11634,138.36,9
3053,15986,497.26,9
2790,9986,385.16,9
11,14488,150.47,9
2751,8960,299.42,9
3495,4338,130.47,10
3274,15538,189.08,10
504,19504,363.79,10
3383,2384,133.69,10
1567,16929,164.07,10
3587,6850,168.97,10
2286,12800,194.22,10
689,16051,277.91,10
3062,17028,427.36,10
96,3749,179.33,10
2197,7873,117.33,10
1935,18032,288.07,10
3528,8708,152.83,10
3277,5145,159.72,10
3526,7542,161.91,10
2404,6528,205.77,10
3586,18099,153.89,10
2863,16693,428.92,10
715,7634,386.82,10
2411,13882,303.58,10
3590,17042,135.83,10
2239,10145,195.66,10
3201,18390,153.02,10
2294,9652,122.59,10
1548,19769,119.76,10
3205,9314,139.21,10
818,2595,434.27,10
2663,13281,250.66,10
2599,19267,219.33,10
448,3670,324.41,10
2766,5348,207.57,10
2011,9460,190.58,10
2495,17906,320.2,10
610,17994,351.04,10
1917,19988,352.27,10
2184,10882,173.88,10
3295,9315,106.23,10
3155,13120,496.23,10
3216,16407,189.16,10
3878,11857,335.66,10
2333,9810,164.91,10
3387,4720,116.26,10
2612,12897,239.67,10
1478,9962,157.36,10
3683,19328,203.47,10
2448,18420,345.13,10
3012,5731,541.89,10
75,836,108.98,10
3576,8483,117.94,10
1867,9649,246.52,10
3721,12914,299.27,10
636,9091,339.41,10
3153,15395,517.95,10
2125,17363,138.36,10
3102,5907,541.38,10
3305,8257,187.13,10
1906,17859,378.51,10
565,6037,390.04,10
2074,19961,198.61,10
2970,19941,521.58,10
1648,14933,380.98,10
1853,19066,280.83,10
2988,10102,469.94,10
824,7891,425.95,10
2751,19121,299.42,10
1942,19392,276.14,10
950,19079,514.09,10
1740,18693,254.39,10
3393,16929,137.8,10
2746,3664,266.27,10
906,1846,400.61,10
142,5633,110.08,10
2414,14257,247.32,10
739,3634,205.77,10
721,6387,208.75,10
3288,3360,179.25,10
500,17296,205.88,10
3161,13731,524.34,10
2128,6416,142.58,10
2369,15651,103.48,10
2280,9546,173.0,10
1611,6086,385.91,10
3904,19763,389.35,10
3555,6416,183.08,10
2424,11616,217.74,10
1577,16194,157.32,10
3079,19728,471.25,10
2798,6777,293.95,10
2597,9809,247.49,10
674,19222,292.17,10
291,12949,147.39,10
3964,9527,331.77,10
3638,2274,236.27,10
2240,16912,160.38,10
361,19640,114.83,10
3762,14753,364.23,10
1250,9483,193.02,10
1219,7312,103.3,10
2713,14465,269.23,10
1189,9952,512.54,10
3349,13378,113.87,10
3884,19984,312.27,10
3956,9988,253.61,10
1778,15345,253.83,10
1131,3136,540.08,10
3593,8400,188.91,10
3306,9793,105.91,10
1094,9028,400.89,10
2220,18036,155.03,10
3689,1876,370.92,10
1371,2752,194.86,10
2433,18656,203.57,10
1891,9489,298.64,10
1821,6321,395.85,10
2001,15090,192.08,10
1782,3712,370.45,10
3085,12944,571.19,10
2747,6448,275.35,10
2056,19010,178.5,10
3233,16579,169.66,10
1654,208,288.64,10
1491,17051,177.86,10
3174,4596,574.03,10
1520,1249,167.55,10
3507,7408,178.53,10
3703,11728,263.48,10
2422,534,342.89,10
1662,12663,397.67,10
2595,1872,340.16,10
2134,11076,114.81,10
2271,8580,158.25,10
3431,17777,108.76,10
478,7528,339.7,10
3839,19729,366.2,10
1299,9873,104.87,10
724,438,330.92,10
3553,5762,134.05,10
2837,18944,481.01,10
653,9730,205.11,10
2073,15521,157.91,10
844,8444,505.29,10
3218,7794,128.05,10
3982,9569,368.23,10
3255,6195,112.13,10
1022,9650,589.25,10
3275,8578,120.31,10
871,4762,534.32,10
3394,18754,130.17,10
80,3654,189.82,10
2994,19729,437.0,10
1222,17212,128.71,10
1226,14498,154.83,10
4173,14512,109.73,11
1203,19539,145.64,11
3794,19952,252.82,11
2981,8192,417.13,11
300,13260,189.44,11
1158,19451,562.59,11
2088,17414,183.67,11
563,19735,258.66,11
1520,9925,167.55,11
120,18228,157.6,11
4350,9714,139.94,11
4228,18401,163.02,11
2644,4577,276.29,11
3529,11140,178.94,11
3315,2481,173.46,11
1379,17632,159.55,11
2410,4849,288.1,11
2946,6976,599.89,11
3025,18992,586.78,11
2001,9843,192.08,11
1625,19138,335.55,11
2958,6563,430.83,11
4019,4992,155.36,11
1036,16944,589.9,11
3370,8185,197.03,11
1655,17958,334.83,11
2743,9912,288.17,11
1932,9698,239.91,11
432,9984,206.49,11
2846,18161,538.55,11
182,18784,171.55,11
4308,19552,181.14,11
1755,13728,268.8,11
1390,19942,161.42,11
3056,16423,429.08,11
2651,11666,285.08,11
2597,18929,247.49,11
1593,12722,182.19,11
3548,19232,129.38,11
2417,18929,367.19,11
1518,14141,156.58,11
246,19810,187.19,11
2935,210,526.28,11
3469,16436,165.08,11
1297,18933,110.66,11
2529,5585,303.85,11
795,3681,249.75,11
4027,15088,189.25,11
4375,14914,195.72,11
3672,9970,397.64,11
2279,19697,182.36,11
264,3897,120.77,11
3407,16002,153.57,11
2997,16289,471.14,11
1420,9975,138.82,11
3164,16225,509.69,11
1042,8902,403.14,11
445,13457,267.57,11
1039,8560,522.83,11
3206,3907,103.95,11
147,6485,183.83,11
3578,16707,128.71,11
3887,18304,394.48,11
1864,3365,310.33,11
38,3680,182.47,11
1903,19795,269.05,11
1715,7604,367.67,11
2101,17824,163.63,11
775,10659,298.0,11
547,10339,284.04,11
3624,16386,245.47,11
3994,18786,245.55,11
3677,19987,248.5,11
1213,7989,164.8,11
4094,19568,180.64,11
1595,18081,124.84,11
831,6192,554.96,11
4262,14882,139.05,11
2910,9984,577.96,11
1000,7925,589.34,11
4373,9185,173.75,11
3357,18755,109.29,11
3563,18001,102.69,11
918,19586,433.76,11
4168,18000,147.66,11
2937,15833,552.84,11
3876,9764,288.44,11
2275,10336,109.58,11
1591,19971,156.5,11
2869,12866,559.84,11
2992,9489,540.69,11
1258,18480,103.81,11
1999,19938,270.55,11
1616,1680,303.55,11
3511,5846,144.25,11
2765,9505,391.57,11
2402,19985,328.01,11
3837,9353,365.82,11
4046,18437,149.66,11
2610,19636,350.61,11
3171,18630,522.53,11
1498,11808,143.19,11
2915,5729,528.59,11
3781,7458,314.17,11
393,14042,159.86,11
3077,8835,463.22,11
1677,4418,390.76,11
788,3777,307.23,11
491,9905,289.33,11
2306,18870,187.03,11
3951,19874,371.13,11
1858,19554,370.82,11
1337,14928,139.83,11
3714,19953,233.33,11
1778,8131,253.83,11
2857,17920,531.3,11
3376,9541,173.69,11
2984,15169,405.08,11
2451,14161,288.17,11
4112,17426,140.24,11
3738,12000,311.92,11
3115,15448,580.41,11
3327,16161,190.5,11
4116,9844,163.66,11
2358,19984,144.05,11
1578,5629,166.0,11
3520,2419,172.88,11
4393,15811,192.52,11
3865,8306,202.1,11
3526,19735,161.91,11
981,15064,466.13,11
2151,5969,177.72,11
3411,9890,171.63,11
3964,9704,331.77,11
4265,19734,180.88,11
1817,19984,374.17,11
3477,19776,163.0,11
2074,15194,198.61,11
4230,14292,183.42,11
2852,16788,425.16,11
514,10849,204.92,11
4148,7392,190.55,11
2061,7280,104.08,11
260,18304,190.27,11
2512,19126,395.82,11
756,2138,292.19,11
3096,16017,579.29,11
2310,19431,112.62,11
3202,11171,167.85,11
3044,6890,599.25,11
2553,9655,313.79,11
706,15236,256.88,11
3958,9776,363.86,11
2021,6434,192.6,11
3989,16640,366.07,11
3517,18514,121.58,11
1506,18609,144.6,11
3866,18195,284.61,11
2811,9815,423.02,11
1602,4001,352.83,11
2589,17714,397.29,11
1304,11457,139.3,11
2186,15505,199.78,11
3601,14691,280.2,11
987,14353,472.64,11
3500,11061,138.25,11
1952,1046,301.92,11
3179,12470,498.88,11
3473,14464,181.63,11
3167,7779,434.79,11
333,12897,104.2,11
3878,12258,335.66,11
2990,17990,488.98,11
2741,9664,207.44,11
153,7925,167.61,11
3365,15186,137.61,11
4344,8848,180.75,11
3408,9200,121.58,11
799,9858,348.38,11
1307,19764,160.41,11
489,18601,346.85,11
4241,8964,160.47,11
1009,2482,433.97,11
2355,7748,176.13,11
1007,19911,589.96,11
2322,8262,157.75,11
1797,16676,222.92,12
2042,7713,192.38,12
1067,15031,588.08,12
2610,16614,350.61,12
1530,8261,198.41,12
576,18021,290.69,12
3367,12417,158.99,12
2590,6996,311.52,12
1130,19556,452.19,12
3906,15312,394.77,12
4072,10432,133.42,12
2627,6321,323.29,12
3990,9344,224.36,12
2354,2689,153.61,12
1537,19505,179.72,12
2123,19971,108.44,12
4206,2705,102.52,12
4391,1328,174.94,12
3103,16117,411.54,12
4624,7396,353.58,12
754,12054,386.83,12
2798,9945,293.95,12
2073,6866,157.91,12
1441,15462,114.36,12
4237,7875,112.16,12
4270,6519,159.63,12
3916,1636,281.48,12
1592,16856,133.55,12
1968,19986,213.75,12
715,7395,386.82,12
4319,14769,192.44,12
3636,8567,376.0,12
224,3522,171.72,12
3536,6499,144.47,12
3430,19168,199.19,12
290,4013,190.86,12
3230,9975,140.36,12
1433,19844,149.02,12
2593,19984,389.92,12
2186,9970,199.78,12
2171,18085,191.41,12
3080,15858,542.66,12
3752,9905,310.77,12
2905,4565,535.67,12
4375,8515,195.72,12
592,15174,341.26,12
3513,19760,181.38,12
1761,9923,314.1,12
1439,9025,185.22,12
1492,14965,140.11,12
1675,18034,350.82,12
672,9907,257.57,12
3605,386,228.19,12
2582,9344,382.42,12
1912,14836,302.26,12
1734,11843,392.42,12
1112,13322,425.07,12
4406,3728,322.27,12
4152,18625,103.73,12
1476,6725,134.08,12
3199,19777,476.55,12
1899,14035,349.14,12
4151,9969,110.15,12
2865,7971,437.89,12
638,13649,318.2,12
3188,12865,427.66,12
4207,19988,179.46,12
1954,9045,303.48,12
4255,8193,187.24,12
3531,19298,125.63,12
2607,19941,200.02,12
2684,5570,282.79,12
2162,9520,154.57,12
2345,8641,195.41,12
3083,17104,551.77,12
2762,8800,286.29,12
3289,9859,132.47,12
1985,9847,385.69,12
1336,9956,143.05,12
3124,15779,432.36,12
2861,12883,419.01,12
2023,19666,171.44,12
3010,15942,569.05,12
3110,5344,516.11,12
2930,6880,544.46,12
739,18098,205.77,12
2775,9490,206.46,12
2770,9953,223.33,12
4455,6146,301.41,12
3392,15312,135.25,12
3733,19360,225.97,12
3271,9713,109.58,12
3941,17169,316.54,12
2542,19844,261.26,12
985,19947,512.96,12
4430,19697,342.14,12
4177,9456,120.19,12
3308,15925,197.8,12
657,19911,305.36,12
3665,19440,380.47,12
2516,7780,278.1,12
2883,14725,409.32,12
1742,434,268.76,12
3870,19345,213.64,12
451,12724,382.35,12
3157,12480,532.59,12
589,3668,325.77,12
1373,7123,196.46,12
2851,8624,496.77,12
3499,1298,105.52,12
4425,7444,212.63,12
356,13687,134.02,12
3360,10848,190.42,12
3500,15899,138.25,12
3655,5218,218.11,12
2255,6352,198.32,12
351,9996,149.86,12
2805,17637,413.05,12
4740,17731,275.32,12
3173,3286,531.78,12
2919,11920,509.35,12
3843,7090,252.88,12
304,8931,197.46,12
1838,19971,304.14,12
3873,15749,266.88,12
3550,1325,169.71,12
2792,8528,258.92,12
3085,13973,571.19,12
4481,15280,231.03,12
2022,19316,161.91,12
1892,3124,225.35,12
2875,18224,406.39,12
2206,4816,136.86,12
4513,18995,269.73,12
1970,11232,220.63,12
1002,13867,555.71,12
1129,15858,440.32,12
1041,1494,445.66,12
4055,8929,127.02,12
4502,15314,326.02,12
1847,17210,203.03,12
4020,8035,177.08,12
3442,18182,141.25,12
4529,18817,364.29,12
4641,19829,259.77,12
4127,2323,165.72,12
4599,13474,319.39,12
358,12243,189.89,12
3206,9107,103.95,12
4013,7927,185.19,12
4779,8258,246.08,12
3635,16880,319.64,12
2694,3328,338.7,12
4122,2240,109.05,12
4499,4656,215.67,12
4170,7143,142.42,12
693,12757,317.3,12
1551,2193,184.61,12
1572,7122,127.29,12
3599,12480,106.26,12
3515,6288,164.33,12
4458,19840,343.86,12
2928,9442,495.98,12
3952,17734,235.86,12
4679,1121,395.2,12
3625,7121,355.14,12
2921,12208,523.82,12
51,4474,144.8,12
4690,4849,359.82,12
284,2389,152.3,12
2757,9888,235.8,12
2337,9841,134.97,12
1271,7860,151.02,12
4384,19921,102.29,12
2334,13587,173.39,12
2544,6598,289.98,12
2389,3816,121.84,12
812,9299,448.02,12
4411,6578,328.64,12
3662,5600,268.05,12
4530,9633,335.41,12
4491,9488,313.6,12
3716,19684,382.14,12
3762,19188,364.23,12
1131,9201,540.08,12
4710,19889,392.57,12
2558,19832,276.98,12
3134,9873,503.26,12
2965,19120,492.82,12
5119,12450,580.22,13
4565,6450,396.23,13
4694,12611,267.08,13
552,18945,327.39,13
3563,16082,102.69,13
3291,9984,171.05,13
5084,14209,591.04,13
4815,18853,460.77,13
2613,7233,274.89,13
1723,2492,230.96,13
2119,19520,125.38,13
4101,9318,151.63,13
1657,18043,336.89,13
2267,18455,179.03,13
3004,5424,586.79,13
397,9995,138.86,13
5112,8197,406.05,13
1975,18601,387.91,13
4416,16114,267.58,13
2611,8386,290.47,13
3711,19601,382.52,13
2481,16949,317.17,13
2234,15856,151.16,13
5106,9443,515.67,13
5030,8113,473.82,13
4825,9187,501.05,13
2550,2978,324.39,13
3821,2352,210.44,13
1759,19393,358.13,13
3598,7829,150.66,13
4940,2580,571.47,13
4117,4818,120.77,13
4891,18836,517.29,13
4596,9921,330.39,13
2569,11588,341.7,13
581,8192,296.66,13
1193,9324,560.47,13
4538,16546,375.58,13
4359,12816,143.28,13
3987,7424,261.98,13
1534,5778,120.02,13
1704,9921,349.0,13
1090,18658,504.33,13
1210,18525,179.07,13
1903,7381,269.05,13
2425,3488,224.89,13
2347,15201,109.51,13
5131,5857,525.36,13
958,9444,547.98,13
4463,417,339.01,13
3689,9861,370.92,13
1646,18658,288.27,13
3447,6322,110.04,13
3771,1187,337.6,13
1931,2592,366.7,13
1849,18320,305.1,13
3410,19905,198.52,13
2773,9824,359.58,13
521,9337,226.02,13
318,19687,136.83,13
3467,19970,159.77,13
4723,19955,362.69,13
1731,2807,204.86,13
2420,18836,344.13,13
4862,16128,584.33,13
3229,5633,133.52,13
1186,19778,580.36,13
3742,1138,290.63,13
4329,18658,133.22,13
3739,4596,317.98,13
4364,16659,186.02,13
5164,15811,505.02,13
4948,2896,549.69,13
2436,19978,326.67,13
4854,18965,594.9,13
4876,19538,484.42,13
4216,19810,138.19,13
3364,19973,179.33,13
2161,18130,161.89,13
4853,12594,589.71,13
3861,4596,347.58,13
2980,19921,482.89,13
4521,8370,262.04,13
4706,13985,211.69,13
2044,16528,168.63,13
2271,7076,158.25,13
3972,16640,395.95,13
2232,5056,121.02,13
4635,7441,369.38,13
807,17312,534.97,13
3225,19684,187.0,13
4465,6962,226.27,13
3507,10977,178.53,13
1559,9947,138.11,13
3180,19856,503.92,13
1220,19156,190.91,13
1943,5475,315.75,13
2157,5968,124.98,13
4061,12272,159.3,13
146,12971,173.16,13
2188,9495,138.52,13
4967,8449,500.77,13
4343,15619,138.1,13
3531,11682,125.63,13
5037,19945,505.35,13
579,6880,292.48,13
2624,7812,355.64,13
4151,10818,110.15,13
4447,2433,360.1,13
4609,8737,378.39,13
2935,4770,526.28,13
1516,18417,198.0,13
2870,7573,553.89,13
3863,5920,252.86,13
3537,8802,161.3,13
3657,5009,385.01,13
5043,14929,418.7,13
1295,12853,179.8,13
4408,19632,266.2,13
2748,7286,324.98,13
2898,19968,526.78,13
1651,9843,239.27,13
