nodeid,isFraud,init_balance,fraudStep
140,0,150.36,-1
141,0,103.94,-1
142,0,110.09,-1
143,0,198.82,-1
144,1,119.94,25
145,0,135.86,-1
146,0,173.16,-1
147,0,183.83,-1
148,0,191.85,-1
149,0,116.94,-1
150,0,167.26,-1
151,0,196.65,-1
152,0,105.81,-1
153,0,167.62,-1
154,0,184.54,-1
155,0,134.23,-1
156,0,125.07,-1
157,0,159.68,-1
158,0,144.23,-1
159,0,117.48,-1
160,0,147.16,-1
161,0,140.99,-1
162,0,156.91,-1
163,0,150.86,-1
164,0,131.14,-1
165,0,135.72,-1
166,0,183.77,-1
167,0,125.09,-1
168,0,156.06,-1
169,0,101.24,-1
170,0,174.16,-1
171,0,133.59,-1
172,0,104.57,-1
173,0,128.09,-1
174,0,124.01,-1
175,0,195.31,-1
176,0,135.22,-1
177,0,128.79,-1
178,0,135.92,-1
179,0,194.69,-1
180,0,163.37,-1
181,0,162.11,-1
182,0,171.56,-1
183,0,138.80,-1
184,0,141.44,-1
185,0,165.08,-1
186,0,100.15,-1
187,0,119.23,-1
188,0,133.44,-1
189,0,123.94,-1
190,0,163.74,-1
191,0,137.86,-1
192,0,187.54,-1
193,0,156.82,-1
194,0,141.44,-1
195,0,140.23,-1
196,0,170.18,-1
197,0,141.82,-1
198,0,166.22,-1
199,0,104.68,-1
200,0,144.54,-1
201,0,125.92,-1
202,0,115.77,-1
203,0,152.76,-1
204,0,148.73,-1
205,0,156.14,-1
206,0,175.55,-1
207,0,188.39,-1
208,0,149.46,-1
209,0,131.21,-1
210,0,146.69,-1
211,0,180.90,-1
212,0,187.50,-1
213,0,181.24,-1
214,0,118.80,-1
215,0,199.94,-1
216,0,163.31,-1
217,0,108.35,-1
218,0,172.56,-1
219,0,198.68,-1
220,0,140.18,-1
221,0,167.85,-1
222,0,131.62,-1
223,0,121.35,-1
224,0,171.73,-1
225,0,100.24,-1
226,0,182.27,-1
227,0,152.83,-1
228,0,109.78,-1
229,0,111.89,-1
230,0,164.93,-1
231,0,187.37,-1
232,0,128.00,-1
233,0,197.85,-1
234,0,110.02,-1
235,0,185.39,-1
236,0,139.67,-1
237,0,108.13,-1
238,0,127.47,-1
239,0,145.30,-1
240,0,179.23,-1
241,0,186.14,-1
242,0,113.34,-1
243,0,152.09,-1
244,0,165.08,-1
245,0,134.71,-1
246,0,187.19,-1
247,0,127.84,-1
248,0,101.86,-1
249,0,104.07,-1
250,0,168.10,-1
251,0,155.84,-1
252,0,194.65,-1
253,0,193.84,-1
254,0,190.99,-1
255,0,104.20,-1
256,0,174.91,-1
257,0,170.13,-1
258,0,165.54,-1
259,0,171.24,-1
260,0,190.27,-1
261,0,164.01,-1
262,0,137.24,-1
263,0,153.79,-1
264,0,120.78,-1
265,0,158.71,-1
266,0,100.89,-1
267,0,115.10,-1
268,0,133.34,-1
269,0,178.96,-1
270,0,171.85,-1
271,0,133.83,-1
272,0,162.05,-1
273,0,104.12,-1
274,0,116.39,-1
275,0,198.19,-1
276,0,128.95,-1
277,0,139.48,-1
278,0,154.85,-1
279,0,129.34,-1
280,0,147.81,-1
281,0,123.97,-1
282,0,104.83,-1
283,0,117.96,-1
284,0,152.31,-1
285,0,107.09,-1
286,0,140.32,-1
287,0,132.85,-1
288,0,141.47,-1
289,0,109.94,-1
290,0,190.87,-1
291,0,147.40,-1
292,0,184.08,-1
293,0,197.62,-1
294,0,134.37,-1
295,0,147.91,-1
296,0,169.96,-1
297,0,142.65,-1
298,0,130.19,-1
299,0,173.48,-1
300,0,189.44,-1
301,0,191.97,-1
302,0,162.67,-1
303,0,137.56,-1
304,0,197.46,-1
305,0,163.89,-1
306,0,106.58,-1
307,0,108.47,-1
308,0,174.99,-1
309,0,106.12,-1
310,0,100.79,-1
311,0,139.38,-1
312,0,151.90,-1
313,0,144.85,-1
314,0,148.86,-1
315,0,158.49,-1
316,0,167.93,-1
317,0,142.30,-1
318,0,136.83,-1
319,0,198.85,-1
320,0,126.09,-1
321,0,177.71,-1
322,0,143.12,-1
323,0,135.85,-1
324,0,106.39,-1
325,0,186.36,-1
326,0,170.20,-1
327,0,190.30,-1
328,0,145.16,-1
329,0,167.69,-1
330,0,111.89,-1
331,0,139.80,-1
332,0,120.72,-1
333,0,104.21,-1
334,0,194.80,-1
335,0,121.59,-1
336,0,114.64,-1
337,0,119.80,-1
338,0,137.80,-1
339,0,154.64,-1
340,0,115.13,-1
341,0,198.87,-1
342,0,198.30,-1
343,0,114.84,-1
344,0,140.59,-1
345,0,167.99,-1
346,0,187.77,-1
347,0,149.54,-1
348,0,191.70,-1
349,0,132.25,-1
350,0,149.84,-1
351,0,149.86,-1
352,0,167.01,-1
353,0,120.20,-1
354,0,160.98,-1
355,0,121.88,-1
356,1,134.02,138
357,0,196.26,-1
358,0,189.90,-1
359,0,181.81,-1
360,0,103.55,-1
361,0,114.84,-1
362,0,125.69,-1
363,0,178.42,-1
364,0,184.23,-1
365,1,158.29,-1
366,0,171.81,-1
367,0,180.71,-1
368,0,106.64,-1
369,0,108.46,-1
370,0,186.89,-1
371,0,103.94,-1
372,0,122.51,-1
373,0,104.06,-1
374,0,101.53,-1
375,0,184.40,-1
376,0,133.06,-1
377,0,116.07,-1
378,0,114.88,-1
379,0,165.61,-1
380,0,196.86,-1
381,0,150.50,-1
382,0,190.11,-1
383,0,150.24,-1
384,0,157.39,-1
385,0,167.86,-1
386,0,180.51,-1
387,0,175.78,-1
388,0,199.05,-1
389,0,174.70,-1
390,0,190.58,-1
391,0,120.61,-1
392,0,153.54,-1
393,0,159.86,-1
394,0,182.57,-1
395,0,148.22,-1
396,0,179.10,-1
397,0,138.86,-1
398,0,158.64,-1
399,0,185.13,-1
400,0,359.61,-1
401,0,331.40,-1
402,0,200.05,-1
403,0,236.39,-1
404,0,301.37,-1
405,0,250.89,-1
406,0,213.12,-1
407,0,371.98,-1
408,0,388.59,-1
409,0,260.56,-1
410,0,281.61,-1
411,0,362.01,-1
412,0,212.45,-1
413,0,328.20,-1
414,1,225.46,-1
415,0,257.42,-1
416,0,365.99,-1
417,0,211.11,-1
418,0,207.19,-1
419,0,283.57,-1
420,0,298.37,-1
421,0,372.67,-1
422,0,343.44,-1
423,0,334.71,-1
424,0,230.27,-1
425,0,397.34,-1
426,0,282.23,-1
427,0,322.35,-1
428,0,277.34,-1
429,0,209.41,-1
430,0,294.18,-1
431,0,230.27,-1
432,1,206.49,74
433,0,323.48,-1
434,0,325.99,-1
435,0,221.06,-1
436,0,309.83,-1
437,0,269.33,-1
438,0,276.68,-1
439,0,355.28,-1
440,0,298.06,-1
441,0,376.26,-1
442,0,322.02,-1
443,0,293.44,-1
444,0,326.46,-1
445,0,267.57,-1
446,0,224.86,-1
447,0,336.51,-1
448,0,324.41,-1
449,0,357.71,-1
450,0,225.42,-1
451,0,382.36,-1
452,0,359.87,-1
453,0,383.38,-1
454,0,374.51,-1
455,0,336.20,-1
456,0,362.05,-1
457,0,303.80,-1
458,0,357.10,-1
459,0,237.83,-1
460,0,356.42,-1
461,0,288.92,-1
462,0,351.32,-1
463,0,291.09,-1
464,0,357.91,-1
465,0,215.07,-1
466,0,208.93,-1
467,0,386.86,-1
468,0,297.23,-1
469,0,380.21,-1
470,0,388.96,-1
471,0,333.30,-1
472,0,314.36,-1
473,0,243.20,-1
474,0,218.70,-1
475,0,363.88,-1
476,0,377.75,-1
477,0,355.88,-1
478,0,339.70,-1
479,0,284.02,-1
480,0,261.06,-1
481,0,222.69,-1
482,0,285.19,-1
483,0,313.20,-1
484,0,384.58,-1
485,0,387.15,-1
486,0,283.13,-1
487,0,219.84,-1
488,0,354.76,-1
489,0,346.86,-1
490,0,206.14,-1
491,0,289.34,-1
492,0,337.28,-1
493,0,206.03,-1
494,0,383.86,-1
495,0,392.45,-1
496,0,344.51,-1
497,0,215.71,-1
498,0,214.07,-1
499,0,271.85,-1
500,0,205.88,-1
501,0,269.58,-1
502,0,201.99,-1
503,0,394.86,-1
504,0,363.80,-1
505,0,214.10,-1
506,0,378.69,-1
507,0,241.60,-1
508,0,240.96,-1
509,0,334.75,-1
510,0,387.65,-1
511,0,224.64,-1
512,0,201.44,-1
513,0,273.83,-1
514,0,204.93,-1
515,0,320.97,-1
516,0,371.84,-1
517,0,237.40,-1
518,0,222.48,-1
519,0,268.89,-1
520,0,391.83,-1
521,0,226.03,-1
522,0,393.30,-1
523,0,272.45,-1
524,0,294.67,-1
525,0,258.53,-1
526,0,387.43,-1
527,0,391.63,-1
528,0,327.18,-1
529,0,236.81,-1
530,0,398.59,-1
531,0,220.52,-1
532,0,316.17,-1
533,0,231.28,-1
534,0,379.54,-1
535,0,389.14,-1
536,0,360.88,-1
537,0,263.18,-1
538,0,248.57,-1
539,0,350.97,-1
540,0,258.21,-1
541,0,283.96,-1
542,0,209.25,-1
543,0,226.45,-1
544,0,204.11,-1
545,0,215.58,-1
546,0,214.64,-1
547,0,284.05,-1
548,0,310.16,-1
549,0,348.18,-1
550,0,228.46,-1
551,0,284.44,-1
552,0,327.39,-1
553,1,216.91,86
554,0,288.96,-1
555,0,273.85,-1
556,0,389.79,-1
557,0,211.57,-1
558,0,281.73,-1
559,0,283.45,-1
560,0,345.64,-1
561,0,264.13,-1
562,0,240.80,-1
563,0,258.66,-1
564,0,294.18,-1
565,0,390.05,-1
566,0,359.30,-1
567,0,255.39,-1
568,0,311.64,-1
569,0,337.64,-1
570,0,359.13,-1
571,0,289.23,-1
572,0,279.76,-1
573,0,353.53,-1
574,0,286.34,-1
575,0,249.59,-1
576,0,290.69,-1
577,0,387.42,-1
578,0,228.51,-1
579,0,292.49,-1
580,0,327.46,-1
581,0,296.66,-1
582,0,240.73,-1
583,0,200.37,-1
584,0,339.80,-1
585,0,323.75,-1
586,0,201.56,-1
587,0,259.71,-1
588,0,353.73,-1
589,0,325.78,-1
590,0,309.04,-1
591,0,231.24,-1
592,0,341.26,-1
593,0,294.29,-1
594,0,335.64,-1
595,0,352.02,-1
596,0,246.47,-1
597,0,352.40,-1
598,0,256.02,-1
599,0,396.80,-1
600,0,224.17,-1
601,0,376.74,-1
602,0,208.11,-1
603,0,251.32,-1
604,0,305.22,-1
605,0,316.32,-1
606,0,279.25,-1
607,0,220.41,-1
608,0,250.52,-1
609,0,256.68,-1
610,0,351.04,-1
611,0,381.75,-1
612,0,319.08,-1
613,0,207.09,-1
614,0,358.45,-1
615,0,261.12,-1
616,0,267.98,-1
617,0,306.04,-1
618,0,249.81,-1
619,0,384.00,-1
620,0,232.71,-1
621,0,282.97,-1
622,0,257.94,-1
623,0,303.97,-1
624,0,314.80,-1
625,0,325.43,-1
626,0,306.28,-1
627,0,282.16,-1
628,1,326.92,-1
629,0,280.68,-1
630,0,355.71,-1
631,0,357.64,-1
632,0,258.45,-1
633,0,274.36,-1
634,0,325.76,-1
635,0,231.41,-1
636,0,339.41,-1
637,0,276.29,-1
638,0,318.21,-1
639,0,227.91,-1
640,0,333.65,-1
641,0,270.81,-1
642,0,294.53,-1
643,0,283.02,-1
644,0,295.34,-1
645,0,338.94,-1
646,0,263.65,-1
647,0,330.41,-1
648,0,212.04,-1
649,0,260.04,-1
650,0,349.04,-1
651,0,210.48,-1
652,0,324.23,-1
653,0,205.11,-1
654,0,294.31,-1
655,0,377.71,-1
656,0,202.02,-1
657,0,305.37,-1
658,0,213.29,-1
659,0,373.42,-1
660,0,337.26,-1
661,0,348.39,-1
662,0,333.80,-1
663,0,201.28,-1
664,0,208.24,-1
665,0,324.18,-1
666,0,399.94,-1
667,0,374.63,-1
668,0,339.94,-1
669,0,345.42,-1
670,1,245.34,-1
671,0,350.32,-1
672,0,257.58,-1
673,0,221.09,-1
674,0,292.18,-1
675,0,266.04,-1
676,0,233.65,-1
677,0,284.34,-1
678,0,379.44,-1
679,0,287.05,-1
680,0,289.46,-1
681,0,341.77,-1
682,0,304.83,-1
683,0,225.84,-1
684,0,382.08,-1
685,0,288.82,-1
686,0,357.87,-1
687,0,277.78,-1
688,0,361.37,-1
689,0,277.91,-1
690,0,244.03,-1
691,0,239.24,-1
692,0,388.01,-1
693,0,317.31,-1
694,0,209.96,-1
695,0,277.67,-1
696,1,246.81,-1
697,0,216.93,-1
698,0,237.35,-1
699,0,211.40,-1
700,0,327.61,-1
701,0,234.67,-1
702,0,322.16,-1
703,0,322.50,-1
704,0,340.98,-1
705,0,302.42,-1
706,0,256.88,-1
707,0,375.49,-1
708,0,270.61,-1
709,0,291.66,-1
710,0,326.38,-1
711,0,303.22,-1
712,0,391.29,-1
713,0,390.94,-1
714,0,385.95,-1
715,0,386.82,-1
716,0,316.19,-1
717,1,298.04,-1
718,0,340.82,-1
719,0,243.08,-1
720,0,253.17,-1
721,0,208.76,-1
722,0,232.57,-1
723,0,200.77,-1
724,0,330.93,-1
725,0,228.08,-1
726,0,357.34,-1
727,0,336.10,-1
728,0,394.14,-1
729,0,279.30,-1
730,0,384.28,-1
731,0,290.74,-1
732,0,267.90,-1
733,0,220.47,-1
734,0,376.57,-1
735,0,358.96,-1
736,0,264.59,-1
737,0,291.15,-1
738,0,265.03,-1
739,0,205.77,-1
740,0,208.87,-1
741,0,273.74,-1
742,0,241.92,-1
743,0,304.90,-1
744,0,237.56,-1
745,0,240.32,-1
746,0,334.53,-1
747,0,347.12,-1
748,0,262.45,-1
749,0,372.00,-1
750,0,250.93,-1
751,0,268.79,-1
752,0,342.50,-1
753,0,208.90,-1
754,0,386.84,-1
755,0,214.47,-1
756,0,292.19,-1
757,0,344.92,-1
758,0,209.49,-1
759,0,361.80,-1
760,0,395.78,-1
761,0,292.10,-1
762,0,223.62,-1
763,0,216.30,-1
764,0,219.75,-1
765,0,353.09,-1
766,0,282.80,-1
767,1,383.85,-1
768,0,288.13,-1
769,0,215.43,-1
770,0,285.39,-1
771,0,350.97,-1
772,0,365.87,-1
773,0,207.87,-1
774,0,236.08,-1
775,0,298.00,-1
776,0,225.62,-1
777,0,374.22,-1
778,0,386.89,-1
779,0,263.92,-1
780,1,286.97,129
781,0,311.41,-1
782,0,257.10,-1
783,0,308.22,-1
784,0,240.24,-1
785,0,259.33,-1
786,0,288.36,-1
787,0,320.93,-1
788,0,307.23,-1
789,0,252.20,-1
790,0,246.36,-1
791,0,223.75,-1
792,0,356.70,-1
793,0,219.78,-1
794,0,346.58,-1
795,0,249.75,-1
796,0,256.91,-1
797,0,347.22,-1
798,0,331.92,-1
799,0,348.38,-1
800,0,503.06,-1
801,0,571.82,-1
802,0,424.36,-1
803,0,529.04,-1
804,0,423.65,-1
805,0,547.46,-1
806,0,471.78,-1
807,0,534.98,-1
808,0,540.70,-1
809,0,532.12,-1
810,0,444.31,-1
811,0,566.36,-1
812,0,448.03,-1
813,0,503.63,-1
814,0,534.93,-1
815,0,446.72,-1
816,0,525.70,-1
817,1,457.37,-1
818,0,434.28,-1
819,0,561.95,-1
820,0,510.62,-1
821,0,465.58,-1
822,0,517.09,-1
823,0,405.06,-1
824,0,425.96,-1
825,0,479.12,-1
826,0,595.15,-1
827,1,502.09,53
828,0,415.29,-1
829,0,553.01,-1
830,0,556.29,-1
831,0,554.96,-1
832,0,513.90,-1
833,0,539.14,-1
834,0,442.69,-1
835,0,546.51,-1
836,0,563.23,-1
837,0,551.99,-1
838,0,470.69,-1
839,0,518.21,-1
840,0,525.80,-1
841,0,580.16,-1
842,0,421.60,-1
843,0,566.79,-1
844,0,505.29,-1
845,0,471.72,-1
846,0,491.12,-1
847,0,402.53,-1
848,0,444.01,-1
849,0,530.55,-1
850,0,532.17,-1
851,0,498.94,-1
852,0,590.67,-1
853,0,496.18,-1
854,0,462.79,-1
855,0,569.56,-1
856,0,451.83,-1
857,0,520.86,-1
858,0,540.68,-1
859,0,564.34,-1
860,0,557.07,-1
861,0,476.82,-1
862,0,411.84,-1
863,0,407.66,-1
864,0,545.29,-1
865,0,592.34,-1
866,0,468.63,-1
867,0,488.24,-1
868,0,545.16,-1
869,0,531.57,-1
870,0,452.02,-1
871,0,534.32,-1
872,0,460.98,-1
873,0,471.27,-1
874,0,507.90,-1
875,0,546.46,-1
876,0,430.24,-1
877,0,404.40,-1
878,0,525.57,-1
879,0,404.91,-1
880,0,408.99,-1
881,0,445.16,-1
882,0,530.78,-1
883,0,413.31,-1
884,0,412.48,-1
885,0,594.42,-1
886,0,484.53,-1
887,0,578.49,-1
888,0,443.30,-1
889,0,487.04,-1
890,0,471.61,-1
891,0,435.39,-1
892,0,465.76,-1
893,0,597.36,-1
894,0,549.46,-1
895,0,476.53,-1
896,0,481.86,-1
897,0,452.75,-1
898,0,506.27,-1
899,0,547.13,-1
900,0,537.33,-1
901,0,492.53,-1
902,0,408.39,-1
903,0,584.30,-1
904,0,481.79,-1
905,0,478.06,-1
906,0,400.62,-1
907,0,427.65,-1
908,0,573.77,-1
909,0,502.79,-1
910,0,546.49,-1
911,0,429.63,-1
912,0,466.01,-1
913,0,568.03,-1
914,0,564.13,-1
915,0,449.36,-1
916,0,404.40,-1
917,0,561.29,-1
918,0,433.77,-1
919,0,557.54,-1
920,0,536.73,-1
921,0,433.66,-1
922,0,415.70,-1
923,0,585.53,-1
924,0,519.58,-1
925,0,524.10,-1
926,0,491.50,-1
927,0,430.01,-1
928,0,520.39,-1
929,0,450.49,-1
930,0,561.18,-1
931,0,546.54,-1
932,0,405.45,-1
933,0,586.48,-1
934,0,407.26,-1
935,0,417.92,-1
936,0,458.55,-1
937,0,430.16,-1
938,0,447.23,-1
939,0,471.16,-1
940,0,547.10,-1
941,0,480.94,-1
942,0,453.97,-1
943,0,498.46,-1
944,0,478.52,-1
945,0,462.15,-1
946,0,580.11,-1
947,0,510.09,-1
948,0,595.47,-1
949,0,554.58,-1
950,0,514.10,-1
951,0,452.49,-1
952,0,537.37,-1
953,0,491.18,-1
954,0,544.28,-1
955,0,480.76,-1
956,0,499.20,-1
957,0,404.14,-1
958,0,547.99,-1
959,0,406.85,-1
960,0,536.15,-1
961,0,516.40,-1
962,0,555.18,-1
963,0,457.96,-1
964,0,537.22,-1
965,0,441.42,-1
966,0,505.85,-1
967,0,468.06,-1
968,0,595.69,-1
969,0,594.37,-1
970,0,441.79,-1
971,0,513.21,-1
972,0,465.89,-1
973,0,593.71,-1
974,0,584.91,-1
975,0,517.23,-1
976,0,544.02,-1
977,0,536.26,-1
978,0,470.67,-1
979,0,583.27,-1
980,0,579.89,-1
981,0,466.13,-1
982,0,549.48,-1
983,0,401.82,-1
984,0,563.27,-1
985,0,512.97,-1
986,0,590.46,-1
987,0,472.64,-1
988,0,525.14,-1
989,0,464.60,-1
990,0,556.56,-1
991,0,520.14,-1
992,0,597.49,-1
993,0,400.20,-1
994,0,428.15,-1
995,0,408.72,-1
996,0,425.17,-1
997,0,585.88,-1
998,0,589.72,-1
999,0,496.08,-1
1000,0,589.34,-1
1001,0,563.68,-1
1002,0,555.72,-1
1003,0,549.46,-1
1004,0,437.53,-1
1005,0,509.78,-1
1006,0,484.78,-1
1007,0,589.96,-1
1008,0,434.77,-1
1009,0,433.97,-1
1010,0,531.77,-1
1011,0,431.48,-1
1012,0,422.01,-1
1013,0,500.78,-1
1014,0,559.33,-1
1015,1,521.01,-1
1016,0,550.95,-1
1017,0,453.15,-1
1018,0,456.99,-1
1019,0,485.74,-1
1020,0,598.17,-1
1021,0,543.58,-1
1022,0,589.25,-1
1023,0,507.57,-1
1024,0,510.91,-1
1025,0,598.02,-1
1026,0,438.00,-1
1027,0,556.52,-1
1028,0,558.30,-1
1029,0,568.95,-1
1030,0,550.01,-1
1031,0,431.07,-1
1032,0,532.23,-1
1033,0,584.74,-1
1034,0,512.66,-1
1035,0,472.19,-1
1036,0,589.90,-1
1037,0,512.32,-1
1038,0,482.33,-1
1039,0,522.83,-1
1040,0,560.83,-1
1041,0,445.66,-1
1042,0,403.14,-1
1043,0,505.82,-1
1044,0,588.27,-1
1045,0,536.05,-1
1046,0,526.18,-1
1047,0,525.56,-1
1048,0,499.40,-1
1049,0,546.18,-1
1050,0,449.84,-1
1051,0,578.35,-1
1052,0,454.89,-1
1053,0,588.99,-1
1054,0,585.30,-1
1055,0,415.58,-1
1056,0,489.64,-1
1057,0,548.81,-1
1058,0,489.93,-1
1059,0,501.78,-1
1060,0,561.36,-1
1061,0,541.00,-1
1062,0,591.60,-1
1063,0,432.90,-1
1064,0,584.71,-1
1065,0,585.60,-1
1066,0,526.95,-1
1067,0,588.08,-1
1068,0,450.54,-1
1069,0,576.36,-1
1070,0,554.70,-1
1071,0,521.94,-1
1072,0,418.13,-1
1073,0,406.03,-1
1074,0,402.19,-1
1075,0,450.11,-1
1076,0,552.47,-1
1077,0,477.33,-1
1078,0,555.09,-1
1079,0,525.13,-1
1080,0,477.85,-1
1081,0,576.03,-1
1082,0,407.68,-1
1083,0,493.06,-1
1084,0,565.97,-1
1085,0,425.36,-1
1086,0,542.10,-1
1087,0,465.62,-1
1088,0,404.86,-1
1089,0,494.74,-1
1090,0,504.34,-1
1091,0,408.32,-1
1092,0,513.18,-1
1093,0,469.49,-1
1094,0,400.90,-1
1095,0,438.15,-1
1096,0,422.16,-1
1097,0,508.12,-1
1098,0,408.62,-1
1099,0,585.63,-1
1100,0,569.01,-1
1101,0,589.06,-1
1102,0,462.96,-1
1103,0,581.05,-1
1104,0,596.86,-1
1105,0,552.95,-1
1106,0,455.02,-1
1107,0,534.18,-1
1108,0,519.13,-1
1109,0,480.84,-1
1110,0,461.22,-1
1111,0,411.97,-1
1112,0,425.08,-1
1113,0,426.79,-1
1114,0,496.18,-1
1115,0,528.38,-1
1116,0,552.81,-1
1117,0,409.34,-1
1118,0,564.75,-1
1119,0,408.69,-1
1120,0,510.99,-1
1121,0,548.83,-1
1122,0,526.24,-1
1123,1,589.94,-1
1124,0,468.94,-1
1125,0,517.18,-1
1126,0,416.56,-1
1127,0,511.96,-1
1128,0,562.66,-1
1129,0,440.32,-1
1130,0,452.19,-1
1131,0,540.08,-1
1132,0,450.78,-1
1133,0,451.85,-1
1134,0,587.10,-1
1135,0,599.71,-1
1136,0,431.04,-1
1137,0,580.03,-1
1138,0,510.55,-1
1139,0,407.72,-1
1140,0,517.10,-1
1141,0,528.31,-1
1142,0,406.76,-1
1143,0,551.54,-1
1144,0,563.56,-1
1145,0,414.33,-1
1146,0,529.68,-1
1147,0,491.31,-1
1148,0,447.74,-1
1149,0,491.73,-1
1150,0,431.88,-1
1151,0,466.73,-1
1152,0,531.04,-1
1153,0,495.30,-1
1154,0,511.18,-1
1155,0,508.69,-1
1156,0,564.12,-1
1157,0,468.68,-1
1158,0,562.59,-1
1159,0,416.00,-1
1160,0,485.55,-1
1161,0,470.46,-1
1162,0,490.32,-1
1163,0,566.70,-1
1164,0,502.48,-1
1165,0,597.45,-1
1166,0,572.29,-1
1167,0,423.77,-1
1168,0,463.38,-1
1169,0,404.55,-1
1170,0,546.75,-1
1171,0,403.84,-1
1172,0,577.19,-1
1173,0,438.67,-1
1174,0,482.77,-1
1175,0,412.41,-1
1176,0,462.25,-1
1177,0,477.90,-1
1178,1,410.45,116
1179,0,553.51,-1
1180,0,542.27,-1
1181,0,471.58,-1
1182,0,567.04,-1
1183,0,415.48,-1
1184,0,410.80,-1
1185,0,471.00,-1
1186,0,580.37,-1
1187,0,551.29,-1
1188,0,534.46,-1
1189,0,512.55,-1
1190,0,560.75,-1
1191,0,482.45,-1
1192,0,406.14,-1
1193,0,560.48,-1
1194,0,438.10,-1
1195,0,477.53,-1
1196,0,471.52,-1
1197,0,424.67,-1
1198,0,470.16,-1
1199,0,435.42,-1
1200,0,161.60,-1
1201,0,165.34,-1
1202,0,101.36,-1
1203,0,145.65,-1
1204,0,155.41,-1
1205,0,187.17,-1
1206,0,149.60,-1
1207,0,108.05,-1
1208,0,105.17,-1
1209,0,186.21,-1
1210,0,179.07,-1
1211,0,185.84,-1
1212,0,126.22,-1
1213,0,164.80,-1
1214,1,109.57,130
1215,0,182.66,-1
1216,0,133.36,-1
1217,0,195.51,-1
1218,0,147.14,-1
1219,1,103.31,-1
1220,0,190.91,-1
1221,0,162.55,-1
1222,0,128.71,-1
1223,0,103.68,-1
1224,0,137.67,-1
1225,0,115.69,-1
1226,0,154.83,-1
1227,0,114.69,-1
1228,0,117.46,-1
1229,0,192.09,-1
1230,0,164.01,-1
1231,0,124.26,-1
1232,0,187.89,-1
1233,0,162.47,-1
1234,0,194.56,-1
1235,0,148.29,-1
1236,0,188.79,-1
1237,0,167.84,-1
1238,0,104.42,-1
1239,0,124.03,-1
1240,0,128.16,-1
1241,0,117.00,-1
1242,0,123.82,-1
1243,1,122.60,-1
1244,0,187.83,-1
1245,0,146.29,-1
1246,0,187.65,-1
